step,coalbench-dpo-eval/rewards/rejected_step,coalbench-dpo-eval/rewards/rejected_timestamp,coalbench-dpo-eval/rewards/chosen_step,coalbench-dpo-eval/rewards/chosen_timestamp,coalbench-dpo-train/rewards/rejected_step,coalbench-dpo-train/rewards/rejected_timestamp,coalbench-dpo-train/rewards/chosen_step,coalbench-dpo-train/rewards/chosen_timestamp
1,,,,,0,1781663929000,0,1781663929000
10,0.004883576650172472,1781663995000,0.011644368059933186,1781663995000,-0.0015612959396094084,1781663981000,0.013083034195005894,1781663981000
20,-0.005026538390666246,1781664069000,0.024498121812939644,1781664069000,-0.0030349609442055225,1781664055000,0.016018420457839966,1781664055000
30,-0.008928362280130386,1781664165000,0.043257951736450195,1781664165000,-0.00813100766390562,1781664151000,0.029804294928908348,1781664151000
40,-0.017893541604280472,1781664257000,0.06356421858072281,1781664257000,-0.009478886611759664,1781664243000,0.05636011064052582,1781664243000
50,-0.02381071448326111,1781664344000,0.09102767705917358,1781664344000,-0.024655763059854507,1781664331000,0.08461584150791168,1781664331000
60,-0.03838637098670006,1781664432000,0.12155824899673462,1781664432000,-0.0273232851177454,1781664418000,0.10541945695877077,1781664418000
70,-0.03824843093752861,1781664520000,0.17538797855377197,1781664520000,-0.040772534906864166,1781664506000,0.1491840034723282,1781664506000
80,-0.06887056678533554,1781664605000,0.19087277352809903,1781664605000,-0.05885045975446701,1781664591000,0.1751445829868317,1781664591000
90,-0.0820184201002121,1781664697000,0.22467224299907684,1781664697000,-0.08535721898078918,1781664683000,0.21201936900615692,1781664683000
100,-0.11590170860290527,1781664778000,0.23516999185085297,1781664778000,-0.09369076788425446,1781664764000,0.23656268417835236,1781664764000
110,-0.14661380648612976,1781664864000,0.24821068346500397,1781664864000,-0.13859185576438904,1781664850000,0.24832001328468323,1781664850000
120,-0.1767914593219757,1781664945000,0.2653011381626129,1781664945000,-0.1836588829755783,1781664931000,0.2348414808511734,1781664931000
130,-0.21424606442451477,1781665033000,0.2697337865829468,1781665033000,-0.23219242691993713,1781665020000,0.26966485381126404,1781665020000
140,-0.24795694649219513,1781665119000,0.27561816573143005,1781665119000,-0.23755702376365664,1781665105000,0.302198588848114,1781665105000
150,-0.28172317147254944,1781665204000,0.2679590582847595,1781665204000,-0.30659323930740356,1781665190000,0.272840291261673,1781665190000
160,-0.32557788491249084,1781665284000,0.25878196954727173,1781665284000,-0.2992669641971588,1781665270000,0.2430279105901718,1781665270000
170,-0.361770898103714,1781665369000,0.24809296429157257,1781665369000,-0.3727765679359436,1781665356000,0.22794441878795624,1781665356000
180,-0.39672544598579407,1781665454000,0.25312912464141846,1781665454000,-0.41827088594436646,1781665440000,0.25909167528152466,1781665440000
190,-0.43486037850379944,1781665539000,0.252592533826828,1781665539000,-0.4768086373806,1781665525000,0.2888590693473816,1781665525000
200,-0.47480154037475586,1781665618000,0.24227823317050937,1781665618000,-0.4428926706314087,1781665604000,0.2986012399196625,1781665604000
210,-0.5121145844459534,1781665704000,0.22782088816165924,1781665704000,-0.4867200255393982,1781665690000,0.2564447522163391,1781665690000
220,-0.5338370203971863,1781665786000,0.2254978269338608,1781665786000,-0.6076938509941101,1781665772000,0.20220956206321716,1781665772000
230,-0.5693527460098267,1781665870000,0.21024277806282043,1781665870000,-0.5793466567993164,1781665856000,0.2710951268672943,1781665856000
240,-0.5901459455490112,1781665948000,0.21404406428337097,1781665948000,-0.6103608012199402,1781665934000,0.26947784423828125,1781665934000
250,-0.6176638007164001,1781666030000,0.20783723890781405,1781666030000,-0.6454125642776489,1781666016000,0.2769753336906433,1781666016000
260,-0.6364747285842896,1781666114000,0.20258307456970215,1781666114000,-0.6187382936477661,1781666100000,0.22161874175071716,1781666100000
270,-0.6438233256340027,1781666198000,0.20402373373508453,1781666198000,-0.7054905891418457,1781666184000,0.25117620825767517,1781666184000
280,-0.6558918952941895,1781666280000,0.2022329866886139,1781666280000,-0.6931405663490295,1781666266000,0.19977019727230072,1781666266000
290,-0.6752179265022278,1781666366000,0.19889256358146667,1781666366000,-0.648088812828064,1781666352000,0.1747610718011856,1781666352000
300,-0.6880921125411987,1781666449000,0.1983002573251724,1781666449000,-0.7356261610984802,1781666435000,0.23118801414966583,1781666435000
310,-0.7039607763290405,1781666532000,0.1954192817211151,1781666532000,-0.7350771427154541,1781666519000,0.27322322130203247,1781666519000
320,-0.7070425748825073,1781666614000,0.19775022566318512,1781666614000,-0.7777352929115295,1781666600000,0.2438236773014069,1781666600000
330,-0.7043831944465637,1781666699000,0.19743390381336212,1781666699000,-0.7213224172592163,1781666685000,0.2179722040891647,1781666685000
340,-0.7110301852226257,1781666782000,0.19523252546787265,1781666782000,-0.7078361511230469,1781666768000,0.2699739336967468,1781666768000
350,-0.7207571864128113,1781666866000,0.19318129122257233,1781666866000,-0.7722684741020203,1781666852000,0.22416622936725616,1781666852000
360,-0.7152530550956726,1781666946000,0.1912602335214615,1781666946000,-0.7960125803947449,1781666932000,0.19484607875347135,1781666932000
370,-0.7233065366744995,1781667033000,0.18537142872810364,1781667033000,-0.7644054293632507,1781667018000,0.2810259461402893,1781667018000
380,-0.7285357713699341,1781667118000,0.1861504316329956,1781667118000,-0.8227213025093079,1781667104000,0.22587017714977264,1781667104000
390,-0.7198166251182556,1781667204000,0.1961856633424759,1781667204000,-0.7272172570228577,1781667190000,0.23332074284553528,1781667190000
400,-0.7241865992546082,1781667285000,0.19856907427310944,1781667285000,-0.7111453413963318,1781667271000,0.15607669949531555,1781667271000
