step,coalbench-sft-lora-train/loss_step,coalbench-sft-lora-train/loss_timestamp,coalbench-sft-lora-eval/loss_step,coalbench-sft-lora-eval/loss_timestamp
1,2.9176409244537354,1781577226000,,
5,2.8188700675964355,1781577245000,,
10,2.6777421951293947,1781577269000,2.6050286293029785,1781577276000
15,2.6228103637695312,1781577300000,,
20,2.59188175201416,1781577324000,2.5333690643310547,1781577331000
25,2.621826171875,1781577357000,,
30,2.5589599609375,1781577385000,2.497149705886841,1781577391000
35,2.6647354125976563,1781577423000,,
40,2.5568107604980472,1781577452000,2.4784512519836426,1781577458000
45,2.579869842529297,1781577486000,,
50,2.475853157043457,1781577513000,2.468057632446289,1781577519000
55,2.686534309387207,1781577547000,,
60,2.5745412826538088,1781577574000,2.4617919921875,1781577580000
65,2.5013830184936525,1781577607000,,
70,2.534001350402832,1781577634000,2.4573581218719482,1781577640000
75,2.524201774597168,1781577669000,,
80,2.43100643157959,1781577693000,2.4509737491607666,1781577700000
85,2.448276901245117,1781577727000,,
90,2.418488883972168,1781577754000,2.4495086669921875,1781577760000
95,2.500007438659668,1781577788000,,
100,2.406925392150879,1781577813000,2.444776773452759,1781577819000
105,2.453241729736328,1781577848000,,
110,2.4967018127441407,1781577875000,2.441760301589966,1781577881000
115,2.632874870300293,1781577908000,,
120,2.631820297241211,1781577930000,2.442626953125,1781577937000
125,2.3141960144042972,1781577963000,,
130,2.4456340789794924,1781577990000,2.439417600631714,1781577997000
135,2.4327564239501953,1781578025000,,
140,2.449447441101074,1781578054000,2.4434280395507812,1781578060000
145,2.518136978149414,1781578088000,,
150,2.400032615661621,1781578114000,2.4404430389404297,1781578120000
155,2.48822135925293,1781578148000,,
160,2.43665828704834,1781578173000,2.4395241737365723,1781578179000
165,2.336197853088379,1781578207000,,
170,2.4066953659057617,1781578233000,2.4406542778015137,1781578240000
175,2.352806282043457,1781578267000,,
180,2.432040786743164,1781578293000,2.4443812370300293,1781578299000
185,2.4183526992797852,1781578326000,,
190,2.4422494888305666,1781578355000,2.444181203842163,1781578361000
195,2.4543968200683595,1781578389000,,
200,2.4014459609985352,1781578413000,2.4427409172058105,1781578419000
205,2.3899234771728515,1781578448000,,
210,2.2449996948242186,1781578474000,2.4445323944091797,1781578480000
215,2.3897378921508787,1781578509000,,
220,2.3495336532592774,1781578535000,2.447380542755127,1781578541000
225,2.314911651611328,1781578568000,,
230,2.4064502716064453,1781578596000,2.447800397872925,1781578602000
235,2.37574520111084,1781578630000,,
240,2.491500663757324,1781578656000,2.4475085735321045,1781578662000
245,2.339494514465332,1781578688000,,
250,2.471264457702637,1781578714000,2.44950532913208,1781578720000
255,2.27398738861084,1781578748000,,
260,2.439154624938965,1781578775000,2.4513156414031982,1781578781000
265,2.276520347595215,1781578809000,,
270,2.321863555908203,1781578838000,2.452409505844116,1781578844000
275,2.2450504302978516,1781578871000,,
280,2.3238229751586914,1781578896000,2.452641725540161,1781578903000
285,2.275004196166992,1781578930000,,
290,2.3089977264404298,1781578956000,2.453676223754883,1781578962000
295,2.3347118377685545,1781578988000,,
300,2.442904472351074,1781579017000,2.4546401500701904,1781579023000
305,2.1911821365356445,1781579052000,,
310,2.347250747680664,1781579078000,2.4545950889587402,1781579084000
315,2.311495780944824,1781579110000,,
320,2.3358898162841797,1781579137000,2.4541690349578857,1781579143000
325,2.346914863586426,1781579171000,,
330,2.353278923034668,1781579199000,2.4551212787628174,1781579205000
335,2.2421667098999025,1781579233000,,
340,2.2512325286865233,1781579259000,2.455578565597534,1781579265000
345,2.359700393676758,1781579292000,,
350,2.40618782043457,1781579320000,2.4561123847961426,1781579327000
355,2.267002296447754,1781579354000,,
360,2.234883117675781,1781579379000,2.456146717071533,1781579385000
365,2.3844478607177733,1781579412000,,
370,2.320795440673828,1781579439000,2.4561495780944824,1781579445000
375,2.15423641204834,1781579473000,,
380,2.2946218490600585,1781579500000,2.4562571048736572,1781579506000
385,2.336195182800293,1781579535000,,
390,2.335940361022949,1781579562000,2.4562487602233887,1781579568000
395,2.2025657653808595,1781579596000,,
400,2.362641525268555,1781579621000,2.457083225250244,1781579627000
